Tag;Dienst;Dienstbemerkung;Soll;"Pause 
gebucht";"Min.-
Pause";Arbeits-zeit;"+/- 
tï¿½gl.";Saldo;Kommt;Geht;"Dienst-
gang"
  ;  05.;Spï¿½t;;;; 0:30; 6:51; 6:51; 26:53;"*00:01
 16:38 a";" 00:25 a
*23:59"
"  ------- Gelï¿½schte -------
 !00:25 Geht";;;;;;;;;;;
  ;  06.;Frï¿½h;;;;;;0:00; 26:53;*00:01; 01:48 a
  ;  07.;7:48;; 7:48;; 0:30; 6:44;-1:04; 25:49; 07:09 a; 14:23 a
  ;  08.;7:48;; 7:48;; 0:30; 7:24;-0:24; 25:25; 07:12 a; 15:06 b
  ;  09.;7:48;; 7:48;; 0:30; 7:21;-0:27; 24:58; 06:43 b; 14:34 b
  ;  10.;7:48;; 7:48;; 0:30; 7:38;-0:10; 24:48; 06:35 b; 14:43 b
  ;  11.;Spï¿½t;; 7:48;; 0:24; 6:00;-1:48; 23:00; 17:36 a;!24:00
  ;  12.;3:00+;;;;;;0:00; 23:00;"*00:01
 17:21 a";" 00:23 b
*23:59"
  ;  13.;Frï¿½h;;;;; 2:39; 2:39; 25:39;!00:00; 06:39 b
"  ------- Gelï¿½schte -------
 !02:39 Geht";;;;;;;;;;;
  ;  14.;Frei;; 7:48;;;;-7:48; 17:51;;
  ;  15.;7:48;; 7:48;; 0:30; 6:32;-1:16; 16:35; 07:11 b; 14:13 b
  ;  16.;7:48;08:00-15:30 07:30 Telearbeit; 7:48;; 0:30; 7:00;-0:48; 15:47;!08:00 T;!15:30 T
  ;  17.;7:48;; 7:48;; 0:30; 8:14; 0:26; 16:13; 11:04 b; 19:48 b
  ;  18.;7:48;; 7:48;; 0:45; 9:45; 1:57; 18:10; 08:31 b; 19:01 a
  ;  19.;Frei;;;;;;; 18:10;;
  ;  20.;Frei;;;;;;; 18:10;;
  ;  21.;7:48;08:10-09:39 01:29 Telearbeit; 7:48; 0:51;; 6:29;-1:19; 16:51;".08:10 T
!10:30";".09:39 T
!15:30"
"EVO
";;;;;;;;;;;
  ;  22.;7:48;; 7:48;; 0:45; 9:10; 1:22; 18:13; 06:05 a;!16:00
  ;  23.;7:48;; 7:48;; 0:30; 7:34;-0:14; 17:59;!05:30; 14:04 a
"Zeugengestellung
  ------- Gelï¿½schte -------
 !14:15 Geht";;;;;;;;;;;
  ;  24.;7:48;; 7:48;; 0:30; 6:17;-1:31; 16:28; 11:05 b; 17:52 b
  ;  25.;7:48;; 7:48;; 0:30; 7:43;-0:05; 16:23; 06:07 a; 14:20 a
  ;  26.;Frei;;;;;;; 16:23;;
  ;  27.;Frei;;;;;;; 16:23;;
  ;  28.;URL;; 7:48;;; 7:48;; 16:23;;
  ;  29.;URL;; 7:48;;; 7:48;; 16:23;;
  ;  30.;URL;Auf das AZ-Konto gebucht :  9:14; 7:48;;; 7:48;; 25:37;;
Monatssummen:;; 171:36; 167:25;-4:11; 25:37;;;;;;
Unverplanter Anspruch;"Urlaub unverplant bis 31.12.
Urlaub aus 2021 unverplant";"15
15";;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Zeitbuchungsorte;;;;;;;;;;;
a - BAM;;;;;;;;;;;
b - LIG;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
  ;  01.;URL;;;;;;; 17:50;;
  ;  02.;URL;;;;;;; 17:50;;
  ;  03.;7:48;07:45-16:03 08:18 Telearbeit; 7:48;; 0:30; 7:48;0:00; 17:50;!07:45 T;!16:03 T
  ;  04.;7:48;; 7:48;; 0:30; 8:10; 0:22; 18:12; 06:23; 15:03
  ;  05.;7:48;; 7:48;; 0:30; 7:44;-0:04; 18:08; 08:11; 16:25
  ;  06.;7:48;; 7:48;; 0:30; 7:04;-0:44; 17:24; 08:04; 15:38
  ;  07.;7:48;07:30-15:50 08:20 Telearbeit; 7:48;; 0:30; 7:50; 0:02; 17:26;!07:30 T;!15:50 T
  ;  08.;Frei;;;;;;; 17:26;;
  ;  09.;Frei;;;;;;; 17:26;;
  ;  10.;7:48;; 7:48;; 0:30; 7:56; 0:08; 17:34; 07:08; 15:34
  ;  11.;7:48;; 7:48;; 0:30; 7:59; 0:11; 17:45; 07:17; 15:46
"  ------- Gelï¿½schte -------
 !07:17 Kommt";;;;;;;;;;;
  ;  12.;7:48;; 7:48;; 0:30; 6:39;-1:09; 16:36; 07:53; 15:02
  ;  13.;Frei;;;;;;; 16:36;;
  ;  14.;7:48;; 7:48;; 0:30; 7:15;-0:33; 16:03; 06:42; 14:27
  ;  15.;Frei;;;;;;; 16:03;;
  ;  16.;Frei;;;;;;; 16:03;;
  ;  17.;7:48;; 7:48;; 0:30; 7:45;-0:03; 16:00;!08:15;!16:30
  ;  18.;7:48;; 7:48;; 0:30; 8:03; 0:15; 16:15; 08:20; 16:53
  ;  19.;7:48;; 7:48;; 0:30; 8:16; 0:28; 16:43; 07:39; 16:25
  ;  20.;7:48;; 7:48;; 0:30; 7:52; 0:04; 16:47; 07:29; 15:51
  ;  21.;7:48;; 7:48;;; 4:55;-2:53; 13:54; 07:47; 12:42
  ;  22.;Frei;;;;;;; 13:54;;
  ;  23.;Frei;;;;;;; 13:54;;
  ;  24.;Frei;;;;;;; 13:54;;
  ;  25.;7:48;; 7:48;; 0:30; 7:55; 0:07; 14:01; 06:46; 15:11
  ;  26.;7:48;; 7:48;; 0:30; 8:10; 0:22; 14:23; 06:32; 15:12
  ;  27.;7:48;09:00-17:30 08:30 Telearbeit; 7:48;; 0:30; 8:00; 0:12; 14:35;!09:00 T;!17:30 T
  ;  28.;7:48;; 7:48;; 0:30; 7:50; 0:02; 14:37; 07:20; 15:40
  ;  29.;Spï¿½t;;;; 0:30; 6:01; 6:01; 20:38; 16:35; 23:06
  ;  30.;Frei;;;;;;; 20:38;;
  ;  31.;7:48;07:30-15:44 08:14 Telearbeit; 7:48;; 0:30; 7:44;-0:04; 20:34;!07:30 T;.15:44 T
"FoBi ab 8.30
";;;;;;;;;;;
Monatssummen:;; 148:12; 150:56; 2:44; 20:34;;;;;;
Unverplanter Anspruch;"Urlaub unverplant bis 31.12.
Urlaub aus 2021 unverplant";"15
15";;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
  ;  01.;7:48;; 7:48;; 0:30; 7:29;-0:19;-1:27; 11:01;!19:00
  ;  02.;Frei;;;;;;;-1:27;;
  ;  03.;ANW;;; 2:05;; 9:25; 9:25; 7:58;"!06:30
!16:50";"!14:45
!18:00"
"GNM
Impfung
";;;;;;;;;;;
  ;  04.;Frei;;;;;;; 7:58;;
  ;  05.;Frei;;;;;;; 7:58;;
  ;  06.;7:48;; 7:48;; 0:30; 7:45;-0:03; 7:55;!06:00;!14:15
"BKP
";;;;;;;;;;;
  ;  07.;7:48;08:30-17:00 08:30 Telearbeit; 7:48;; 0:30; 8:00; 0:12; 8:07;!08:30 T;!17:00 T
  ;  08.;Frï¿½h;; 7:48;; 0:30; 7:55; 0:07; 8:14;!04:50;!13:15
"Durchsuchung
";;;;;;;;;;;
  ;  09.;7:48;; 7:48;; 0:30; 7:45;-0:03; 8:11;!11:00;!19:15
"BKP
";;;;;;;;;;;
  ;  10.;ANW;;;; 0:30; 7:50; 7:50; 16:01;!06:30;!14:50
"Stpl
  ------- Gelï¿½schte -------
 !06:30 Kommt";;;;;;;;;;;
  ;  11.;Frei;;;;;;; 16:01;;
  ;  12.;7:48;08:00-16:40 08:40 Telearbeit; 7:48;; 0:30; 8:10; 0:22; 16:23;!08:00 T;.16:40 T
  ;  13.;7:48;07:35-15:45 08:10 Telearbeit; 7:48;; 0:30; 7:40;-0:08; 16:15;!07:35 T;!15:45 T
  ;  14.;7:48;07:30-15:45 08:15 Telearbeit; 7:48;; 0:30; 7:45;-0:03; 16:12;!07:30 T;!15:45 T
  ;  15.;7:48;; 7:48;; 0:30; 8:41; 0:53; 17:05; 07:53; 17:04
  ;  16.;7:48;; 7:48;; 0:45; 10:22; 2:34; 19:39;!08:00; 19:07
"UZW
";;;;;;;;;;;
  ;  17.;Frei;;;;;;; 19:39;;
  ;  18.;Frei;;;;;;; 19:39;;
  ;  19.;Frei;fï¿½r 24.04.; 7:48;;;;-7:48; 11:51;;
  ;  20.;Frï¿½h;; 7:48;; 0:30; 7:45;-0:03; 11:48;!05:30;!13:45
"Fi
";;;;;;;;;;;
  ;  21.;7:48;07:45-09:00 01:15 Telearbeit; 7:48; 0:43;; 7:42;-0:06; 11:42;"!07:45 T
 09:43";"!09:00 T
 16:10"
  ;  22.;7:48;; 7:48;; 0:30; 6:01;-1:47; 9:55; 11:19; 17:50
  ;  23.;7:48;; 7:48;; 0:30; 7:55; 0:07; 10:02;!08:00;!16:25
  ;  24.;Frï¿½h;;;; 0:30; 7:48; 7:48; 17:50;!05:30;!13:48
"Fi
";;;;;;;;;;;
  ;  25.;Frei;;;;;;; 17:50;;
  ;  26.;URL;; 7:48;;; 7:48;; 17:50;;
  ;  27.;URL;; 7:48;;; 7:48;; 17:50;;
  ;  28.;URL;; 7:48;;; 7:48;; 17:50;;
  ;  29.;URL;; 7:48;;; 7:48;; 17:50;;
  ;  30.;URL;; 7:48;;; 7:48;; 17:50;;
Monatssummen:;; 156:00; 174:58; 18:58; 17:50;;;;;;
Unverplanter Anspruch;"Urlaub unverplant bis 31.12.
Urlaub aus 2021 unverplant";"15
15";;;;;;;;;
